A,omega,V,RMSE,Corr,SRF_events,Quake_events,valid
0.6,1.3,0.0015,,,16,2,0
0.6,1.3,0.002,0.024976,0.999377,16,3,1
0.6,1.3,0.003,0.021065,0.999558,16,4,1
0.6,1.7,0.0015,,,15,2,0
0.6,1.7,0.002,0.027696,0.999347,15,3,1
0.6,1.7,0.003,0.023799,0.999529,15,4,1
0.6,2.1,0.0015,,,5,2,0
0.6,2.1,0.002,0.031102,0.999065,5,3,1
0.6,2.1,0.003,0.027207,0.999285,5,4,1
1.0,1.3,0.0015,,,27,2,0
1.0,1.3,0.002,0.025393,0.999395,27,3,1
1.0,1.3,0.003,0.021483,0.999572,27,4,1
1.0,1.7,0.0015,,,25,2,0
1.0,1.7,0.002,0.025429,0.999374,25,3,1
1.0,1.7,0.003,0.021518,0.999555,25,4,1
1.0,2.1,0.0015,,,9,2,0
1.0,2.1,0.002,0.033126,0.999079,9,3,1
1.0,2.1,0.003,0.029255,0.999289,9,4,1
1.4,1.3,0.0015,,,38,2,0
1.4,1.3,0.002,0.025231,0.999425,38,3,1
1.4,1.3,0.003,0.021329,0.999597,38,4,1
1.4,1.7,0.0015,,,35,2,0
1.4,1.7,0.002,0.025928,0.999390,35,3,1
1.4,1.7,0.003,0.022021,0.999569,35,4,1
1.4,2.1,0.0015,,,13,2,0
1.4,2.1,0.002,0.025625,0.999341,13,3,1
1.4,2.1,0.003,0.021731,0.999523,13,4,1
